VM Count: 100 arrivalLamda: 1.2 PM type: 3 cpuChangePeriod: 5
Repeat	vmNum	Name	energyConsume	executeCost	  usedPMNum	  SLA	  migrateVMCount	  scheduleTime
9	2000.0	KMIMPCU	1595.41000	12958.49961		108.00000	0.04630	2230.00000	9.42300
9	2000.0	AFEDEF	1575.92900	7851.14534		136.00000	0.04412	1245.00000	20.75750
9	2000.0	OSER	1320.13589	7292.31719		226.00000	0.00000	344.00000	2.11000
Average:	2000.0	ecoCloud	2757.96163	29400.48086	193.20000	0.07248	14.70000	0.03380
Average:	2000.0	KMIMPCU	2045.67566	12210.67441	80.80000	0.03167	3305.70000	11.33050
Average:	2000.0	AFEDEF	1879.66219	10389.40076	119.30000	0.03345	1300.20000	13.26075
Average:	2000.0	OSER	1744.54867	10613.91477	250.60000	0.00040	377.90000	2.44720
0	3000.0	ecoCloud	4153.75477	117279.71850		232.00000	0.05172	30.00000	0.09300
0	3000.0	KMIMPCU	3125.06696	38409.98014		97.00000	0.02062	3936.00000	32.33167
0	3000.0	AFEDEF	2955.74029	39245.58425		158.00000	0.01899	2758.00000	25.30200
0	3000.0	OSER	2463.22371	41545.51574		387.00000	0.00000	738.00000	3.71900
1	3000.0	ecoCloud	4129.07062	106112.37855		250.00000	0.06400	38.00000	0.05800
1	3000.0	KMIMPCU	2990.05243	37138.94344		99.00000	0.05051	7410.00000	26.34100
1	3000.0	AFEDEF	2521.45264	32816.80540		161.00000	0.01863	2329.00000	22.02600
1	3000.0	OSER	2489.58846	39396.35708		400.00000	0.00000	627.00000	3.09800
2	3000.0	ecoCloud	4139.02722	115609.51610		225.00000	0.06222	19.00000	0.08300
2	3000.0	KMIMPCU	2738.46019	26505.58798		95.00000	0.03158	4129.00000	28.23967
2	3000.0	AFEDEF	2743.47085	44298.95927		187.00000	0.03209	2733.00000	59.67933
2	3000.0	OSER	2418.26492	34853.16587		394.00000	0.00000	653.00000	3.48600
3	3000.0	ecoCloud	3636.94546	103631.00497		223.00000	0.08969	32.00000	0.06100
3	3000.0	KMIMPCU	3297.17092	61316.13455		90.00000	0.02222	6891.00000	72.19933
3	3000.0	AFEDEF	2653.02655	34931.28270		175.00000	0.01714	2850.00000	39.86900
3	3000.0	OSER	2428.54604	38108.88772		361.00000	0.00000	603.00000	3.16033
4	3000.0	ecoCloud	4148.48854	93616.05017		210.00000	0.06190	39.00000	0.04167
4	3000.0	KMIMPCU	2391.55024	33495.24718		95.00000	0.04211	5080.00000	41.24167
4	3000.0	AFEDEF	2899.62900	35495.70112		199.00000	0.01508	3809.00000	21.22667
4	3000.0	OSER	2665.81482	43977.77853		374.00000	0.00000	674.00000	3.20367
5	3000.0	ecoCloud	3921.41626	102218.51502		257.00000	0.07782	34.00000	0.04267
5	3000.0	KMIMPCU	3374.94349	42687.71816		111.00000	0.00901	4135.00000	25.32333
5	3000.0	AFEDEF	3037.79029	35101.45298		188.00000	0.02128	2790.00000	21.14433
5	3000.0	OSER	2375.63014	34815.70217		322.00000	0.00000	538.00000	3.29400
6	3000.0	ecoCloud	3437.72889	117960.40453		235.00000	0.04255	33.00000	0.07200
6	3000.0	KMIMPCU	3069.91757	33678.70737		83.00000	0.02410	6839.00000	43.47567
6	3000.0	AFEDEF	2387.53436	33116.77730		157.00000	0.03185	2444.00000	23.42633
6	3000.0	OSER	2510.64052	40121.37706		360.00000	0.00000	594.00000	3.26233
7	3000.0	ecoCloud	3853.34179	115540.21554		275.00000	0.06182	32.00000	0.08000
7	3000.0	KMIMPCU	2580.57158	53224.95414		147.00000	0.01361	4213.00000	27.11733
7	3000.0	AFEDEF	3118.17019	36713.63427		178.00000	0.02809	2973.00000	40.88633
7	3000.0	OSER	2432.33708	46711.36303		440.00000	0.00227	768.00000	3.60867
8	3000.0	ecoCloud	4195.28890	92195.51650		214.00000	0.04206	31.00000	0.05067
8	3000.0	KMIMPCU	2676.73271	34118.98008		112.00000	0.01786	5852.00000	29.23100
8	3000.0	AFEDEF	3234.94018	32641.55698		122.00000	0.03279	2484.00000	13.85733
8	3000.0	OSER	2476.60985	35356.22760		324.00000	0.00000	568.00000	3.39767
9	3000.0	ecoCloud	3910.94509	103647.64235		229.00000	0.05677	25.00000	0.05433
9	3000.0	KMIMPCU	3061.33902	47225.79330		145.00000	0.03448	5249.00000	22.48200
9	3000.0	AFEDEF	2957.97269	29622.18431		152.00000	0.03947	2591.00000	16.39033
9	3000.0	OSER	2496.17126	39559.65047		393.00000	0.00000	697.00000	3.32133
Average:	3000.0	ecoCloud	3952.60075	106781.09622	235.00000	0.06106	31.30000	0.06363
Average:	3000.0	KMIMPCU	2930.58051	40780.20463	107.40000	0.02661	5373.40000	34.79827
Average:	3000.0	AFEDEF	2850.97270	35398.39386	167.70000	0.02554	2776.10000	28.38077
Average:	3000.0	OSER	2475.68268	39444.60253	375.50000	0.00023	646.00000	3.35510
