VM Count: 1000 arrivalLamda: 0.4 PM type: 3 cpuChangePeriod: 5
Repeat	arrivalLamdaGroup	Name	energyConsume	executeCost	  usedPMNum	  SLA	  migrateVMCount	  scheduleTime
1	2.0	OSER	505.66767	918.00424		192.00000	0.00000	346.00000	7.75900
2	2.0	ecoCloud	873.13465	2593.58037		89.00000	0.02247	0.00000	0.02800
2	2.0	KMIMPCU	481.10059	1102.08017		69.00000	0.01449	570.00000	0.83200
2	2.0	AFEDEF	653.08398	1211.51920		80.00000	0.01250	551.00000	1.43800
2	2.0	OSER	494.43123	1185.36798		146.00000	0.00000	275.00000	6.41100
3	2.0	ecoCloud	769.51627	2656.31573		88.00000	0.03409	1.00000	0.03100
3	2.0	KMIMPCU	469.93368	930.33833		105.00000	0.01905	470.00000	0.83400
3	2.0	AFEDEF	663.44002	965.83493		82.00000	0.00000	500.00000	1.06500
3	2.0	OSER	520.97174	1203.52033		211.00000	0.00000	372.00000	7.70000
4	2.0	ecoCloud	743.92502	2314.92480		103.00000	0.04854	0.00000	0.03600
4	2.0	KMIMPCU	454.99588	1552.88415		78.00000	0.02564	3034.00000	3.09600
4	2.0	AFEDEF	712.19164	949.62006		69.00000	0.00000	466.00000	0.74100
4	2.0	OSER	513.68922	954.41867		184.00000	0.00000	312.00000	5.13400
5	2.0	ecoCloud	922.75852	3170.77855		110.00000	0.05455	0.00000	0.03400
5	2.0	KMIMPCU	656.45435	1133.20623		115.00000	0.00870	692.00000	1.35600
5	2.0	AFEDEF	597.49345	1175.61838		99.00000	0.00000	731.00000	8.61600
5	2.0	OSER	541.36182	1227.21043		211.00000	0.00000	402.00000	7.79800
6	2.0	ecoCloud	885.45364	2579.29586		109.00000	0.06422	1.00000	0.03000
6	2.0	KMIMPCU	460.47264	1079.58042		76.00000	0.02632	507.00000	0.75800
6	2.0	AFEDEF	710.90647	1031.19302		95.00000	0.00000	630.00000	1.61300
6	2.0	OSER	510.19947	1085.92681		145.00000	0.00000	281.00000	5.07600
7	2.0	ecoCloud	865.43902	2924.68954		73.00000	0.05479	0.00000	0.03100
7	2.0	KMIMPCU	726.04118	1138.23443		83.00000	0.01205	506.00000	1.26600
7	2.0	AFEDEF	581.64115	1000.18767		85.00000	0.01176	525.00000	1.58700
7	2.0	OSER	626.91666	1126.70603		162.00000	0.00000	300.00000	8.09000
8	2.0	ecoCloud	783.85670	2656.88831		82.00000	0.03659	0.00000	0.04000
8	2.0	KMIMPCU	607.75553	873.04316		81.00000	0.00000	513.00000	1.09300
8	2.0	AFEDEF	576.31785	815.24927		74.00000	0.01351	443.00000	1.66100
8	2.0	OSER	496.62659	1047.54335		186.00000	0.00000	339.00000	7.09300
9	2.0	ecoCloud	923.76317	2574.15409		90.00000	0.10000	0.00000	0.03100
9	2.0	KMIMPCU	440.31114	1355.55699		68.00000	0.01471	1497.00000	1.36600
9	2.0	AFEDEF	640.63968	1195.20823		84.00000	0.02381	557.00000	1.06200
9	2.0	OSER	630.15864	1234.50637		192.00000	0.00000	340.00000	6.78500
Average:	2.0	ecoCloud	835.11684	2733.13334	96.20000	0.06296	0.40000	0.03270
Average:	2.0	KMIMPCU	542.29523	1156.90758	84.00000	0.01663	920.50000	1.23520
Average:	2.0	AFEDEF	628.06570	1009.09259	85.30000	0.00832	528.50000	1.95200
Average:	2.0	OSER	535.15353	1108.38270	186.10000	0.00000	338.50000	7.05260
